subject,model_name,eval_index,image_id,positive_similarity,hardest_impostor_similarity,hardest_impostor_index,margin,full_pool_rank,sampled_top1_success_rate,sampled_rank_mean,sampled_rank_median,delta_positive_similarity,delta_hardest_impostor_similarity,delta_margin,delta_full_pool_rank,delta_sampled_top1_success_rate,rank1_to_not1,not1_to_rank1
7,cycle44_subj07_margin_low_1sess_150ep,556,42126,0.03767637,0.0464722,655,-0.008795828,7.0,0.07142857142857142,2.9285714285714284,3.0,-0.0028744303,0.00027256086,-0.0031469911,2.0,-0.21428571428571427,0,0
7,cycle44_subj07_margin_low_1sess_150ep,557,42166,0.039432514,0.053360358,28,-0.013927843,30.0,0.0,7.428571428571429,8.0,-0.0030088536,0.001368653,-0.0043775067,11.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,558,42171,0.056405194,0.04010298,40,0.016302213,1.0,1.0,1.0,1.0,-0.0019783862,-0.0011081472,-0.000870239,0.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,559,42214,0.065747,0.057087258,567,0.008659743,1.0,1.0,1.0,1.0,-0.0030491948,-0.0019045025,-0.0011446923,0.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,560,42224,0.054772846,0.045485634,715,0.009287212,1.0,1.0,1.0,1.0,0.0015227348,-0.0013824031,0.0029051378,0.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,561,42238,0.03609797,0.06229373,967,-0.02619576,112.0,0.0,33.42857142857143,35.0,-0.004104417,0.0076820254,-0.011786442,64.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,562,42299,0.047091898,0.05369229,770,-0.006600391,5.0,0.2857142857142857,2.142857142857143,2.0,0.0012953915,-0.0011586323,0.0024540238,-4.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,563,42473,0.038490467,0.049259298,655,-0.010768831,15.0,0.0,4.9,5.0,0.0063759014,-0.0010315105,0.007407412,-69.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,564,42563,0.055219237,0.055709764,828,-0.0004905276,2.0,0.6,1.4,1.0,0.0025593005,0.0009000264,0.0016592741,-1.0,0.19999999999999996,0,0
7,cycle44_subj07_margin_low_1sess_150ep,565,42642,0.022409955,0.049299344,522,-0.02688939,220.0,0.0,68.46666666666667,68.0,-0.005000891,-0.001822859,-0.003178032,58.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,566,42648,0.038616233,0.052765004,567,-0.014148772,49.0,0.0,15.25,14.5,0.0005588904,-0.0012443103,0.0018032007,-6.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,567,42697,0.07609306,0.04964852,468,0.026444543,1.0,1.0,1.0,1.0,0.0035698488,-0.008203901,0.01177375,0.0,0.0,0,0
